rank,prime,time_ns
171240877,3587093309,163538
171291985,3588215549,177184
171379264,3590137927,164951
171550998,3593923381,172650
171573991,3594429299,164834
171844175,3600374213,166153
171853903,3600591739,167700
172062066,3605168221,155480
172325146,3610961369,174835
172378562,3612135617,176130
172379407,3612154153,169122
172625074,3617565449,173270
172993583,3625668359,160364
173022970,3626315897,158406
173043514,3626770117,164206
173062902,3627194083,159865
173447434,3635652677,154964
173507018,3636968189,175908
174223490,3652727747,162770
174339163,3655275643,166095
175007684,3669999679,171094
175065426,3671267927,161575
175554262,3682028873,163758
175936396,3690457853,186333
175997391,3691799737,158058
176024300,3692392631,160894
176053339,3693031847,161764
176376921,3700164197,158702
176464314,3702088547,162755
177061436,3715247413,168960
177356983,3721747699,173090
178162452,3739491029,167343
178399974,3744724981,173412
178844863,3754537817,172266
179735109,3774164837,166693
179915671,3778147489,163979
179963294,3779195773,165907
180463352,3790230107,163808
181057086,3803321069,164340
181312166,3808950433,174494
181336918,3809497469,161675
181421913,3811374121,168221
181757857,3818776651,164365
181996626,3824046349,166027
182507833,3835328227,161384
182864296,3843197741,160780
183283829,3852468461,159320
183316577,3853193401,160692
183944503,3867051827,164078
184039858,3869152477,160683
185489966,3901179781,153072
185544324,3902378231,159317
185691599,3905621653,155531
185849518,3909107897,158363
185967558,3911719067,158791
185982060,3912038131,167807
186152623,3915814333,169273
186334241,3919831919,169358
186437818,3922122427,167605
186882958,3931958207,176216
186942540,3933272351,164308
187069383,3936078451,162793
187720211,3950446733,165959
187985120,3956299889,169571
188084088,3958487549,177484
188115508,3959181623,170436
188289176,3963017293,163761
188598290,3969851293,175401
188748276,3973169947,160392
188834549,3975073283,162958
188867231,3975798341,165872
189279702,3984917549,162338
189686758,3993927451,168514
190067117,4002329491,168311
190419201,4010116013,159286
190773345,4017957071,171580
191315249,4029941777,159012
191360647,4030944917,156071
191594431,4036115351,160540
191888321,4042616503,167832
191998459,4045059731,163334
192022126,4045584703,163573
192276522,4051208587,160340
192395748,4053842687,169057
192540293,4057039061,155621
192707498,4060738379,163088
193318921,4074277651,159255
193347974,4074917299,162417
193764310,4084136879,179865
193781588,4084516759,167834
193793181,4084772173,172140
194027808,4089967331,168800
194065688,4090801997,172235
194421718,4098684743,168427
194733271,4105584173,169956
194911036,4109516083,165783
195211990,4116173713,171299
195258027,4117191913,169022
195295581,4118025397,160560
195531104,4123233769,168803
195848748,4130258719,171022
196267356,4139530081,175972
196416910,4142845799,175345
196470053,4144023497,160104
196495914,4144593989,159838
196986024,4155446611,168480
197211363,4160439749,170961
197369481,4163951507,163110
197407503,4164792691,165671
197496142,4166758643,163265
197558418,4168139119,162027
197682663,4170891929,157305
197806183,4173630583,160867
198021969,4178414609,165146
198555513,4190235017,158484
198707758,4193614333,174435
199087085,4202009951,170565
199142440,4203235721,153320
199228192,4205127523,164626
199826991,4218401839,172310
199989023,4221993071,162919
200243977,4227646799,172735
200412309,4231374509,173941
200488688,4233069923,163127
200544869,4234314739,162461
200584115,4235182727,166325
200590236,4235319917,172625
200600641,4235549531,172459
200806920,4240126721,182241
200815600,4240320373,169205
200941270,4243104373,160916
200951065,4243321531,173234
201399553,4253261633,181068
201638104,4258554059,162243
201640887,4258616393,173142
201861913,4263521741,158287
202229117,4271663947,168622
202356229,4274480593,177608
202547581,4278713347,167129
202573099,4279278953,159600
202688979,4281847781,175024
202701275,4282118329,176653
202763455,4283499349,168914
202939597,4287402547,163451
202973267,4288153319,167312
203128021,4291587023,173807
