id,puzzle_path,weight_mode,include_filled_edges,algorithm,solved,solve_time_ms,decision_count,fiedler_value,trace_laplacian,created_at_utc
95,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,1,ForwardCheckingSolver,1,0.532668,48,0.0,50.44444444444444,2026-02-16T18:02:58.555Z
96,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,1,AC3Solver,1,8.858561,48,0.0,50.44444444444444,2026-02-16T18:02:58.564Z
97,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,1,BacktrackingSolver,1,0.446526,167,3765500.391173702,1258000316.6663725,2026-02-16T18:02:58.575Z
98,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,1,ForwardCheckingSolver,1,0.816126,48,3765500.391173702,1258000316.6663725,2026-02-16T18:02:58.576Z
99,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,1,AC3Solver,1,10.077984,48,3765500.391173702,1258000316.6663725,2026-02-16T18:02:58.587Z
100,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,0,BacktrackingSolver,1,0.464795,167,0.0,546.0,2026-02-16T18:02:58.596Z
101,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,0,ForwardCheckingSolver,1,0.568229,48,0.0,546.0,2026-02-16T18:02:58.597Z
102,/home/blake/m508/custompuzzles/Custom-0006.txt,binary,0,AC3Solver,1,9.229547,48,0.0,546.0,2026-02-16T18:02:58.606Z
103,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,0,BacktrackingSolver,1,0.451832,167,0.0,50.44444444444444,2026-02-16T18:02:58.617Z
104,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,0,ForwardCheckingSolver,1,0.541083,48,0.0,50.44444444444444,2026-02-16T18:02:58.618Z
105,/home/blake/m508/custompuzzles/Custom-0006.txt,overlap,0,AC3Solver,1,9.207967,48,0.0,50.44444444444444,2026-02-16T18:02:58.628Z
106,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,0,BacktrackingSolver,1,0.46956,167,0.0,184000316.66637245,2026-02-16T18:02:58.638Z
107,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,0,ForwardCheckingSolver,1,0.559194,48,0.0,184000316.66637245,2026-02-16T18:02:58.639Z
108,/home/blake/m508/custompuzzles/Custom-0006.txt,inv_overlap,0,AC3Solver,1,10.60469,48,0.0,184000316.66637245,2026-02-16T18:02:58.650Z
109,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,1,BacktrackingSolver,1,0.442584,167,8.999999999999975,1620.0,2026-02-16T18:02:58.661Z
110,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,1,ForwardCheckingSolver,1,0.574044,47,8.999999999999975,1620.0,2026-02-16T18:02:58.662Z
111,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,1,AC3Solver,1,10.576975,47,8.999999999999975,1620.0,2026-02-16T18:02:58.673Z
112,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,1,BacktrackingSolver,1,0.437964,167,0.0,48.44444444444444,2026-02-16T18:02:58.683Z
113,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,1,ForwardCheckingSolver,1,0.781454,47,0.0,48.44444444444444,2026-02-16T18:02:58.684Z
114,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,1,AC3Solver,1,10.054838,47,0.0,48.44444444444444,2026-02-16T18:02:58.695Z
115,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,1,BacktrackingSolver,1,0.452131,167,5435323.022075486,1290000280.999742,2026-02-16T18:02:58.706Z
116,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,1,ForwardCheckingSolver,1,0.790613,47,5435323.022075486,1290000280.999742,2026-02-16T18:02:58.707Z
117,/home/blake/m508/custompuzzles/Custom-0007.txt,inv_overlap,1,AC3Solver,1,9.907769,47,5435323.022075486,1290000280.999742,2026-02-16T18:02:58.717Z
118,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,0,BacktrackingSolver,1,0.440697,167,0.0,524.0,2026-02-16T18:02:58.728Z
119,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,0,ForwardCheckingSolver,1,0.540733,47,0.0,524.0,2026-02-16T18:02:58.728Z
120,/home/blake/m508/custompuzzles/Custom-0007.txt,binary,0,AC3Solver,1,9.579708,47,0.0,524.0,2026-02-16T18:02:58.738Z
121,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,0,BacktrackingSolver,1,0.416354,167,0.0,48.44444444444444,2026-02-16T18:02:58.749Z
122,/home/blake/m508/custompuzzles/Custom-0007.txt,overlap,0,ForwardCheckingSolver,1,0.557896,47,0.0,48.44444444444444,2026-02-16T18:02:58.749Z
