term,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_overlap_FE1,AC3Solver_overlap_FE1,BacktrackingSolver_inv_overlap_FE1,ForwardCheckingSolver_inv_overlap_FE1,AC3Solver_inv_overlap_FE1,BacktrackingSolver_binary_FE0,ForwardCheckingSolver_binary_FE0,AC3Solver_binary_FE0,BacktrackingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE0,AC3Solver_overlap_FE0,BacktrackingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE0,AC3Solver_inv_overlap_FE0,BacktrackingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_expected_frac_FE1,AC3Solver_dir_expected_frac_FE1,BacktrackingSolver_dir_target_frac_FE1,ForwardCheckingSolver_dir_target_frac_FE1,AC3Solver_dir_target_frac_FE1,BacktrackingSolver_dir_info_FE1,ForwardCheckingSolver_dir_info_FE1,AC3Solver_dir_info_FE1,BacktrackingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE0,BacktrackingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE0,BacktrackingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE0,AC3Solver_dir_info_FE0
log(fiedler_value + 1):I(1/(fiedler_value + 0.001)),0,0,0,-0.064602012,-0.04038396,-0.031871421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(1/(trace_laplacian + 0.001)),0,0,0,6639774.494734393,4250129.377148763,1123607.2056135419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(trace_laplacian + 1) + 1):fiedler_value,0,0,0,-1.46E-09,-5.24E-10,-1.83E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(trace_laplacian + 1) + 1):I(fiedler_value^2),0,0,0,1.0112538256234266e-16,-3.34E-17,-3.42E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(trace_laplacian + 1):fiedler_value,0,0,0,-2.17E-10,-7.88E-11,-2.74E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(trace_laplacian + 1):I(fiedler_value^2),0,0,0,1.5451994914731826e-17,-4.61E-18,-5.01E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:trace_laplacian,0,0,0,-1.39E-18,-1.87E-18,-6.67E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(fiedler_value^2),0,0,0,2.0099601198805066e-22,3.9366734323485526e-23,-1.36E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(trace_laplacian^2),0,0,0,7.957698536621981e-28,-1.13E-27,-5.54E-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(1/(fiedler_value + 0.001)),0,0,0,98.18144085043053,65.98720104062222,47.12083777134724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(1/(trace_laplacian + 0.001)),0,0,0,-7.089676612,7.196495043709023,1.147540339889541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trace_laplacian:I(fiedler_value^2),0,0,0,5.806054240269801e-25,-3.36E-26,-8.70E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(fiedler_value^2):I(trace_laplacian^2),0,0,0,7.561037735309209e-34,5.815826681966604e-35,-6.64E-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
