term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
trace_laplacian:I(trace_laplacian^2),-2.311081952173652e-5,NA,-0.029174238995581005,-0.038789701605772525,5.9845988577573454e-5,5.360116577634644e-5,-0.03126075406830478,-0.034308741149104774,-2.3033363903057327e-24,-9.937025742981056e-24,-1.234636685748442e-5,-1.5612498680096443e-5,-8.27957345248878e-6,NA,0.033989253053935166,0.013666290525445558,3.016509616451238e-4,3.4261643810247597e-4,0.028015540811913844,0.016847322087625592,1.3004947195523189e-23,3.2872290859797957e-24,-2.607845370893716e-5,-9.46597468695667e-6,-2.6803750311821575e-5,NA,-0.007311612513597808,-0.019635576617404754,1.9650458765640207e-4,1.281090014628511e-4,-0.014515103690072913,0.002116697505713145,1.343056986445295e-23,-9.411374478896101e-24,-1.5541785071508276e-5,-1.8667592532458004e-5
trace_laplacian:I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0023028338200951973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026492022553604548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0036366841805772192,NA,NA
trace_laplacian:I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(fiedler_value^2):I(trace_laplacian^2),NA,NA,NA,NA,NA,NA,NA,NA,NA,2.897360144748473e-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.709980468536115e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2501948971352195e-29,NA,NA
I(fiedler_value^2):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(fiedler_value^2):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45369607705058956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5688182614155924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.519828602115979,NA,NA
I(trace_laplacian^2):I(1/(fiedler_value + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.736522720496448e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.108818939070065e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.5352924774560657e-12,NA,NA
I(trace_laplacian^2):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
I(1/(fiedler_value + 0.001)):I(1/(trace_laplacian + 0.001)),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Squared,0.02940153448668822,0,0.03156826594045345,0.03747051815834919,0.03742121545204211,0.04273197926766395,0.034082856672638676,0.039970770849553056,0.021157306723784897,0.06906351181554726,0.014953006254692763,0.021714758958736296,0.2725427869577677,0,0.31347393505393517,0.3195606368428921,0.31765476969264006,0.31425012157381527,0.32329956402127347,0.30764198152358835,0.2753239196873891,0.30041481139572285,0.2730726361461669,0.27424994188551155,0.2540967729626425,0,0.2479997848103867,0.12955785487926882,0.24796694105032774,0.14095083649083448,0.2516664642077384,0.13251617672033836,0.2806279120433827,0.19762278261879723,0.2798128514190569,0.173622739956368
